listing_id,title,current_price,purpose,neighbourhood,bedrooms,flag,corrected_price
6edca343-5260-4a89-936a-91f61ec7e648,"Executive 2 Bedroom Furnished Apartment for Rent Along Matundu Close, Westlands",2200,rent,Westlands,2,LOW,
79b7061b-4d96-4695-9da5-e95e3559d2d1,"Executive 2 Bedroom Furnished Apartment with DSQ in Volaire, Westlands",2200,rent,Westlands,2,LOW,
9771ab02-d253-4baf-829a-866033775b70,"Luxury 2 Bedroom Apartment for Rent in Riverside Drive",2200,rent,Riverside,2,LOW,
12ca3d21-28e7-4b41-9e88-aaca7a3209cf,"Luxury 2 Bedroom Furnished Apartment for Rent in Riverside Drive",2200,rent,Riverside,0,LOW,
79eac47d-a3d0-4c68-8d9a-5a7e49e022c9,"Luxury 2 Bedroom Furnished Apartment with DSQ for Rent in Volaire, Westlands",2200,rent,Westlands,2,LOW,
11361400-0793-464b-b9a3-6cb1dc690dad,"Luxury 2 Bedroom Furnished Apartment for Rent in Runda",2300,rent,Runda,2,LOW,
87cd2865-99cf-4c23-a12c-5c24c4c33d1a,"Elegant 2 Bedroom Furnished Apartment for Rent Along Peponi Road",2400,rent,Westlands,2,LOW,
28202510-ebab-4be5-b4f1-0f00d897b79c,"Elegant 4 Bedroom All En-Suite Family Home for Rent in Westlands",2500,rent,Westlands,4,LOW,
6e72af76-1ffa-4974-b8da-646d5ad8c691,"Luxury 3 Bedroom Apartment with DSQ for Rent in Riverside Drive",2500,rent,Riverside,3,LOW,
a407afb0-40d3-4867-b94c-3121c96d1cb9,"Luxury 3 Bedroom Furnished Apartment with DSQ for Rent IN Riverside Drive",2500,rent,Riverside,3,LOW,
dc0f58e2-8f14-4dfa-a528-fef73c19d37b,"Luxury 3 Bedroom Residence with DSQ for Rent in Riverside",2500,rent,Riverside,3,LOW,
45f411fa-7de4-44d1-894c-432df4dc4c43,"Luxury Stylish 3 Bedroom Apartment with DSQ for Rent in Brookside Drive, Westlands",2600,rent,Westlands,3,LOW,
5124ccb1-b312-4551-bf92-c26cb7934c65,"Forest-View 3 & 5-Bedroom Executive Apartments for Rent in Peponi Road, Westlands",3000,rent,Westlands,3,LOW,
53760bb3-939c-4d58-a37a-8a64e1c7381b,"Luxury 3-Bedroom En-suite Furnished Villa for Rent in Karen, Nairobi",3000,rent,Karen,3,LOW,
4580123b-8584-4a50-9105-a4e3dd209721,"SPACIOUS 5 BEDROOM HOUSE IN GIGIRI",3000,rent,Gigiri,5,LOW,
da572f5a-bf94-46b9-a7c1-42922479c3f0,"Executive 4 Bedroom House with Attic for Rent in Runda",3250,rent,Runda,5,LOW,
9af9c866-97bc-4b27-9f16-39392b4f481e,"Modern Luxury 4 Bedroom Refurbished Cottage for Rent in Muthaiga",3250,rent,Muthaiga,4,LOW,
b3a7064c-9d2e-4030-9c44-99568d04d45d,"Exclusive 4 Bedroom Residence for Rent in Peponi Road, Westlands",3500,rent,Westlands,4,LOW,
32627577-e74a-4e22-8b68-d9f8cbab4b20,"Exclusive 4Bedroom Forest-Front Apartment for Rent Along Peponi Road, Westlands",3500,rent,Spring Valley,4,LOW,
45139753-d7c2-4c0b-8c3e-b696ce6ac8ce,"LUXURIOUS FURNISHED 2 BEDROOM GARDEN FLAT IN GIGIRI",3750,rent,Gigiri,2,LOW,
7b934ad8-770a-4d09-8162-13fe5d4e1372,"Luxury Fully Furnished & Serviced 2 Bedroom Cottage for Rent in Gigiri",3900,rent,Gigiri,2,LOW,
